01,vert
02,rouge
03,vert
04,vert
05,vert
06,vert
07,vert
08,rouge
09,vert
10,rouge
11,vert
12,vert
13,vert
14,vert
15,vert
16,vert
17,vert
18,vert
19,vert
21,rouge
22,vert
23,vert
24,vert
25,rouge
26,vert
27,vert
28,vert
29,vert
2A,vert
2B,vert
30,vert
31,vert
32,vert
33,vert
34,vert
35,vert
36,vert
37,vert
38,vert
39,rouge
40,vert
41,vert
42,vert
43,vert
44,vert
45,vert
46,vert
47,vert
48,vert
49,vert
50,vert
51,rouge
52,rouge
53,vert
54,rouge
55,rouge
56,vert
57,rouge
58,rouge
59,rouge
60,rouge
61,vert
62,rouge
63,vert
64,vert
65,vert
66,vert
67,rouge
68,rouge
69,vert
70,rouge
71,rouge
72,vert
73,vert
74,vert
75,rouge
76,vert
77,rouge
78,rouge
79,vert
80,rouge
81,vert
82,vert
83,vert
84,vert
85,vert
86,vert
87,vert
88,rouge
89,rouge
90,rouge
91,rouge
92,rouge
93,rouge
94,rouge
95,rouge
971,vert
972,vert
973,vert
974,vert
976,rouge
